create table scr_Capitulo (
	ID_Capitulo INT,
	Fecha_Publicacion DATE,
	Paginas INT
);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (31, '01/09/2025', 24);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (4, '03/11/2025', 28);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (8, '12/19/2024', 85);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (62, '12/19/2024', 25);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (55, '09/14/2024', 4);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (62, '10/02/2024', 93);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (62, '07/10/2024', 63);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (68, '09/11/2024', 3);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (15, '01/28/2025', 2);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (96, '10/02/2024', 96);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (53, '04/15/2025', 37);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (24, '12/29/2024', 49);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (38, '08/03/2024', 30);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (50, '12/02/2024', 99);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (18, '11/12/2024', 93);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (45, '11/29/2024', 44);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (70, '07/02/2025', 54);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (69, '02/25/2025', 47);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (61, '11/11/2024', 32);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (50, '12/22/2024', 80);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (27, '11/28/2024', 29);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (48, '11/16/2024', 48);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (23, '06/29/2025', 49);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (68, '03/16/2025', 97);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (18, '09/10/2024', 22);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (81, '05/16/2025', 57);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (48, '06/03/2025', 47);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (2, '01/16/2025', 81);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (30, '05/24/2025', 34);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (3, '08/13/2024', 65);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (96, '02/07/2025', 85);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (52, '09/01/2024', 96);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (28, '10/23/2024', 77);
insert into scr_Capitulo (ID_Capitulo, Fecha_Publicacion, Paginas) values (83, '03/29/2025', 19);
